2191-988A	7603 Hwy 215 South	Rochelle	GA	31079	Wilcox	January 7, 2020
1120-22635A	1749 Harden Road	Zebulon	GA	30295	Pike	January 7, 2020	View on Auction.com
1120-22719A	6849 Stone Breeze Drive	Stone Mountain	GA	30087	Dekalb	January 7, 2020
1120-22745A	1229 Side Step Trace	Lawrenceville	GA	30045	Gwinnett	January 7, 2020
1120-22774A	159 Harris Street	Griffin	GA	30223	Spalding	January 7, 2020
1031-2477A	727 Spring Leaf Court	Lawrenceville	GA	30045	Gwinnett	January 7, 2020	View on Auction.com
1031-2480A	1513 Old Jones Road	Alpharetta	GA	30004	Cherokee	January 7, 2020
1031-2482A	2070 Village Crest Drive Northwest	Atlanta	GA	30318	Fulton	January 7, 2020
1031-2484A	10943 Morning Dove Drive	Hampton	GA	30228	Clayton	January 7, 2020	View on Auction.com
1031-2489A	1378 Wesley Oaks Court	Atlanta	GA	30327	Fulton	January 7, 2020
1031-2494A	1950 Pleasant Walk	Lithonia	GA	30058	Dekalb	January 7, 2020	View on Auction.com
1031-2496A	10061 Tara Glynn Drive	Hampton	GA	30228	Clayton	January 7, 2020	View on Auction.com
1031-2500A	7794 Village Pass	Fairburn	GA	30213	Fulton	January 7, 2020
1031-2507A	3195 Arborwoods Drive	Alpharetta	GA	30022	Fulton	January 7, 2020
1031-2351A	152 Shepperd Rd.	Calhoun	GA	30701	Gordon	January 7, 2020
1031-2408A	2010 Steele Road	Griffin	GA	30223	Spalding	January 7, 2020
1031-2450A	2539 Preston View SW Ct	Atlanta	GA	30315	Fulton	January 7, 2020
1031-2461A	89 Taylor Wells Road	Hinesville	GA	31313	Liberty	January 7, 2020
1031-2465A	1100 Jennifer Oaks Drive	Alpharetta	GA	30004	Fulton	January 7, 2020
1031-2468A	144 Rogers Ct	Chatsworth	GA	30705	Murray	January 7, 2020	View on Auction.com
1031-2469A	621 Mohawk Circle	Stockbridge	GA	30281	Henry	January 7, 2020	View on Auction.com
1031-2470A	773 Brittany Court	Stone Mountain	GA	30083	Dekalb	January 7, 2020
1031-2474A	108 Ashland Grv	Stockbridge	GA	30281	Henry	January 7, 2020	View on Auction.com
1017-3781A	711 Pointe West Loop	Dublin	GA	31021	Laurens	January 7, 2020
1017-3783A	3334 Chastain Ridge	Marietta	GA	30066	Cobb	January 7, 2020	View on Auction.com
1017-3788A	4105 Waters End Lane	Snellville	GA	30039	Gwinnett	January 7, 2020
1017-3789A	185 Cliff Nelson Rd	Kingston	GA	30145	Bartow	January 7, 2020	View on Auction.com
1017-3791A	235 Charles Road	Chatsworth	GA	30705	Murray	January 7, 2020
1017-3793A	3041 Dodson Dr.	East Point	GA	30344	Fulton	January 7, 2020
1017-3751A	Route 3 Box 77	Metter	GA	30439	Candler	January 7, 2020	$15,000.00
1017-3758A	5658 Brookstone Drive	Acworth	GA	30101	Cobb	January 7, 2020	$241,800.00
1017-3759A	105 Robinhood Drive	Warner Robins	GA	31088	Houston	January 7, 2020	View on Auction.com
1017-3766A	4105 Brightmore Drive	Austell	GA	30106	Cobb	January 7, 2020	View on Auction.com
1017-3767A	12 Bimini Drive	Savannah	GA	31419	Chatham	January 7, 2020
1017-3773A	205 Muscadine Court North	Fairburn	GA	30213	Fulton	January 7, 2020
1017-3775A	1344 Lower Falls Drive	Mcdonough	GA	30252	Henry	January 7, 2020	$200,460.00
1017-3778A	291 Cushing Drive	Savannah	GA	31406	Chatham	January 7, 2020
1017-3780A	8155 Amanda Lane	Covington	GA	30014	Newton	January 7, 2020
1017-3699A	786 Norwalk Cove	Lawrenceville	GA	30043	Gwinnett	January 7, 2020
1017-3703A	99 Community Christian Church Rd	Nahunta	GA	31553	Brantley	January 7, 2020
1017-3713A	1071 N Van Wert Road	Villa Rica	GA	30180	Carroll	January 7, 2020	View on Auction.com
1017-3725A	2065 Corinth Church Rd.	Bowman	GA	30624	Elbert	January 7, 2020	View on Auction.com
1017-3726A	138 Austin Lane	Locust Grove	GA	30248	Henry	January 7, 2020	$158,000.00
1017-3738A	393 Fennel Way Sw	Atlanta	GA	30331	Fulton	January 7, 2020	$54,900.00
1017-3746A	6458 Yellow Stone DR	Columbus	GA	31909	Muscogee	January 7, 2020	$139,040.00
1017-3748A	310 West Highway 5	Roopville	GA	30170	Carroll	January 7, 2020
1017-3750A	1613 Goodyear Avenue	Brunswick	GA	31520	Glynn	January 7, 2020
1017-3561A	855 Brandy Oaks Lane	Stone Mountain	GA	30088	Dekalb	January 7, 2020
1017-3580A	611 Westbridge Rd	Fayetteville	GA	30214	Fayette	January 7, 2020
1017-3627A	600 Jewel Drive	Atlanta	GA	30331	Fulton	January 7, 2020	$365,820.00
1017-3654A	3108 Oakmont Drive	Monroe	GA	30656	Walton	January 7, 2020	View on Auction.com
1017-3658A	5618 Wayne Drive	Lizella	GA	31052	Bibb	January 7, 2020
1017-3678A	7530 Brookstead Xing	Duluth	GA	30097	Fulton	January 7, 2020	$342,420.00
1017-3680A	5923 Old Wellborn Trace	Lithonia	GA	30058	Dekalb	January 7, 2020
1017-3681A	8475 Timberlake Dr.	Riverdale	GA	30296	Clayton	January 7, 2020
1017-3685A	1620 Clifton Downs Drive Southeast	Atlanta	GA	30316	Dekalb	January 7, 2020
1012-12969A	133 Camelot Road	Gray	GA	31032	Jones	January 7, 2020
1012-13017A	118 Maurine Dr SE	Dalton	GA	30720	Whitfield	January 7, 2020
1016-4724A	2027 Brandy Woods Drive	Conyers	GA	30013	Rockdale	January 7, 2020	View on Auction.com
1016-4735A	100 Allen Oaks Way	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1017-3194A	192 Woodland Hills Drive	Fairburn	GA	30213	Fulton	January 7, 2020	View on Auction.com
1017-3313A	90 Green Valley Drive	Riverdale	GA	30274	Clayton	January 7, 2020
1017-3488A	652 Everlasting Way	Locust Grove	GA	30248	Henry	January 7, 2020	View on Auction.com
1017-3515A	401 Lafayette Street	Hahira	GA	31632	Lowndes	January 7, 2020	View on Auction.com
1017-3548A	2501 Fieldrock Way	Lawrenceville	GA	30043	Gwinnett	January 7, 2020
1012-12905A	5939 Clark Road	Clermont	GA	30527	Hall	January 7, 2020	View on Auction.com
1012-12914A	1675 North Hood Court	Kennesaw	GA	30152	Cobb	January 7, 2020	View on Auction.com
1012-12920A	3105 Ridge Hill Parkway	Douglasville	GA	30135	Douglas	January 7, 2020
1012-12933A	515 Keeneland Avenue	Woodstock	GA	30189	Cherokee	January 7, 2020
1012-12941A	4349 Parkview Drive	Lithia Springs	GA	30122	Douglas	January 7, 2020
1012-12942A	565 Rankin St. NE	Atlanta	GA	30308	Fulton	January 7, 2020
1012-12951A	500 Stonehaven Drive	Fayetteville	GA	30215	Fayette	January 7, 2020	View on Auction.com
1012-12961A	249 Chadds Walk	Athens	GA	30606	Clarke	January 7, 2020	View on Auction.com
1012-12962A	1420 Shelnut Ct.	Hampton	GA	30228	Henry	January 7, 2020
1012-12796A	2070 Godfrey Road	Madison	GA	30650	Morgan	January 7, 2020
1012-12797A	4149 Palm Drive	Snellville	GA	30039	Gwinnett	January 7, 2020
1012-12822A	1474 Devon Mill Way	Austell	GA	30168	Cobb	January 7, 2020
1012-12827A	150 Shady Brook Walk	Fairburn	GA	30213	Fayette	January 7, 2020
1012-12828A	25 Windcrest Terrace	Covington	GA	30016	Newton	January 7, 2020
1012-12838A	1392 Waterford Green Dr	Marietta	GA	30068	Cobb	January 7, 2020
1012-12841A	379 Harco Drive	Columbus	GA	31906	Muscogee	January 7, 2020
1012-12873A	8264 Englewood Trl	Riverdale	GA	30274	Clayton	January 7, 2020
1012-12874A	5366 Wellborn Creek Drive	Lithonia	GA	30058	Dekalb	January 7, 2020
1012-11444A	822 Devon Dr	Saint Marys	GA	31558	Camden	January 7, 2020
1012-11861A	9 Collier Ln Nw	Atlanta	GA	30305	Fulton	January 7, 2020
1012-12453A	2601 Pine Court	Hephzibah	GA	30815	Burke	January 7, 2020
1012-12734A	116 Brianna Drive	Stockbridge	GA	30281	Henry	January 7, 2020
1012-12760A	1152 Lexington Ridge Road	Hoschton	GA	30548	Barrow	January 7, 2020
1012-12768A	4877 Pine Shadows Dr	Stone Mountain	GA	30088	Dekalb	January 7, 2020
1012-12781A	4321 Sebring Walk	Decatur	GA	30034	Dekalb	January 7, 2020	View on Auction.com
1012-12783A	489 Childers Road	Hull	GA	30646	Madison	January 7, 2020	View on Auction.com
1012-12794A	220 Oak Street	Claxton	GA	30417	Evans	January 7, 2020
1010-1556A	1712 Stone Meadow Road	Lithonia	GA	30058	Dekalb	January 7, 2020	View on Auction.com
1010-1560A	1177 Bob Smith Road	Sharpsburg	GA	30277	Coweta	January 7, 2020	View on Auction.com
1010-1565A	12072 Centerra Dr.	Hampton	GA	30228	Clayton	January 7, 2020	View on Auction.com
1010-1567A	805 Stone View Dr	Hoschton	GA	30548	Jackson	January 7, 2020	View on Auction.com
1010-1572A	409 Misshaki Terrace	Atlanta	GA	30349	Fulton	January 7, 2020	View on Auction.com
1010-1580A	233 Hillstream Dr	Dahlonega	GA	30533	Lumpkin	January 7, 2020
1010-1584A	642 Georgia Way	Woodstock	GA	30188	Cherokee	January 7, 2020
1010-1586A	1086 Bethlehem Road	Winder	GA	30680	Barrow	January 7, 2020	View on Auction.com
1010-1592A	212 Red Maple Way	Dallas	GA	30157	Paulding	January 7, 2020
1006-3408A	525 Madison Chase Drive	Lawrenceville	GA	30045	Gwinnett	January 7, 2020	View on Auction.com
1006-3416A	5133 Golfbrook Drive	Stone Mountain	GA	30088	Dekalb	January 7, 2020	View on Auction.com
1006-3421A	38 Rachel Drive	Dallas	GA	30157	Paulding	January 7, 2020	$96,477.49
1008-084A	5010 Hearthstone Dr	Columbus	GA	31909	Muscogee	January 7, 2020
1008-086A	5492 East Wind Dr SW	Lilburn	GA	30047	Gwinnett	January 7, 2020
1008-090A	292 Trail Pointe SE	Smyrna	GA	30082	Cobb	January 7, 2020
1010-1236A	8413 Glenwoods Terrace	Riverdale	GA	30274	Clayton	January 7, 2020
1010-1510A	1009 Grace Marie Lane	Ellenwood	GA	30294	Henry	January 7, 2020
1010-1548A	919 Arbor Crowne Dr.	Lawrenceville	GA	30045	Gwinnett	January 7, 2020
1000-15094A	2020 Gail Ave	Albany	GA	31707	Dougherty	January 7, 2020	View on Auction.com
1000-15095A	10030 Crystal Terrace	Jonesboro	GA	30238	Clayton	January 7, 2020	View on Auction.com
1000-15104A	5405 Spotted Fawn Court	Suwanee	GA	30024	Gwinnett	January 7, 2020	View on Auction.com
1000-15108A	1470 Dolcetto Trae NW	Kennesaw	GA	30152	Cobb	January 7, 2020
1000-15113A	1447 Kings Mountain Road	Columbus	GA	31907	Muscogee	January 7, 2020	View on Auction.com
1000-15133A	753 Gary Summers Road	Senoia	GA	30276	Coweta	January 7, 2020
1006-2606A	1251 -1254 Falls Creek Lane	Pine Mountain	GA	31822	Harris	January 7, 2020
1006-3396A	256 Malone Street	Fairburn	GA	30213	Fulton	January 7, 2020	View on Auction.com
1006-3402A	3262 Kibbe Court	Lawrenceville	GA	30044	Gwinnett	January 7, 2020
1000-15037A	6729 Browns Mill Ferry Drive	Lithonia	GA	30038	Dekalb	January 7, 2020	View on Auction.com
1000-15039A	1202 Atlanta Highway	Gainesville	GA	30501	Hall	January 7, 2020
1000-15052A	1357 Walton Loop	Hephzibah	GA	30815	Richmond	January 7, 2020
1000-15053A	113 West Longleaf Drive	Sylvester	GA	31791	Worth	January 7, 2020
1000-15055A	2035 Walton Farms Drive	Hephzibah	GA	30815	Richmond	January 7, 2020
1000-15057A	3470 Quinn Ridge Drive	Snellville	GA	30039	Gwinnett	January 7, 2020	View on Auction.com
1000-15063A	9 Pinewood Avenue	Savannah	GA	31406	Chatham	January 7, 2020	View on Auction.com
1000-15081A	5658 Winchester Place	Lithonia	GA	30038	Dekalb	January 7, 2020
1000-15084A	1651 South Hidden Hills Parkway	Stone Mountain	GA	30088	Dekalb	January 7, 2020	View on Auction.com
1000-15004A	365 Teasley Trail	Moreland	GA	30259	Coweta	January 7, 2020	View on Auction.com
1000-15016A	100 Yellow Pine Dr	Temple	GA	30179	Carroll	January 7, 2020	View on Auction.com
1000-15017A	9 Ristona Drive	Savannah	GA	31419	Chatham	January 7, 2020	View on Auction.com
1000-15025A	4322 Swan Drive	Valdosta	GA	31602	Lowndes	January 7, 2020	View on Auction.com
1000-15029A	305 Andover Ct	Bonaire	GA	31005	Houston	January 7, 2020
1000-15035A	135 Jennifer Lane	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1000-14976A	180 Courthouse Road	Temple	GA	30179	Paulding	January 7, 2020	View on Auction.com
1000-14979A	4542 Ridgeland Dr SW	Lilburn	GA	30047	Gwinnett	January 7, 2020	View on Auction.com
1000-14990A	3777 Cherokee Overlook Dr	Canton	GA	30115	Cherokee	January 7, 2020	View on Auction.com
1000-14991A	437 Freedom Dr.	McDonough	GA	30252	Henry	January 7, 2020	View on Auction.com
1000-14994A	116 Harmon Creek Drive	Savannah	GA	31406	Chatham	January 7, 2020	View on Auction.com
1000-14995A	10100 Ferguson Avenue	Savannah	GA	31406	Chatham	January 7, 2020	View on Auction.com
1000-14997A	5675 Wells Circle	Stone Mountain	GA	30087	Dekalb	January 7, 2020	View on Auction.com
1000-14998A	186 Glenn Wade Dr.	Rossville	GA	30741	Walker	January 7, 2020	View on Auction.com
1000-15001A	728 Georgetown Lane	Jonesboro	GA	30236	Clayton	January 7, 2020	View on Auction.com
1000-14857A	2479 Dunkerrin Ln	Dunwoody	GA	30360	Dekalb	January 7, 2020	View on Auction.com
1000-14865A	216 Cypress Creek Lane	Guyton	GA	31312	Effingham	January 7, 2020
1000-14886A	2042 Creek Road	Wildwood	GA	30757	Dade	January 7, 2020	View on Auction.com
1000-14904A	8150 Mountain Pass	Riverdale	GA	30274	Clayton	January 7, 2020	View on Auction.com
1000-14928A	44 Serenity Court	Hoschton	GA	30548	Jackson	January 7, 2020	View on Auction.com
1000-14962A	90 East Country Woods Drive	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1000-14967A	910 Club Chase Court	Roswell	GA	30076	Fulton	January 7, 2020	View on Auction.com
1000-14968A	3154 Duckett Mill Rd.	Gainesville	GA	30506	Hall	January 7, 2020	View on Auction.com
1000-14969A	2133 Creekview Trail	Decatur	GA	30035	Dekalb	January 7, 2020	View on Auction.com
1000-14649A	6702 Audubon Drive	Columbus	GA	31909	Muscogee	January 7, 2020	View on Auction.com
1000-14668A	123 Timber Ridge Drive	Brunswick	GA	31525	Glynn	January 7, 2020
1000-14669A	1150 Yankee Road	Cloudland	GA	30731	Walker	January 7, 2020
1000-14767A	2762 Gresham RD SE	Atlanta	GA	30316	Dekalb	January 7, 2020	View on Auction.com
1000-14820A	320 Cherokee Road	Thomaston	GA	30286	Upson	January 7, 2020	View on Auction.com
1000-14829A	467 South Howard Street Southeast	Atlanta	GA	30317	Dekalb	January 7, 2020
1000-13858A	61 Tracey Lane	Dallas	GA	30132	Paulding	January 7, 2020	View on Auction.com
1000-14184A	3206 North Wood Valley Rd	Atlanta	GA	30327	Fulton	January 7, 2020
1000-14643A	206 Highpoint Drive	Warner Robins	GA	31093	Houston	January 7, 2020
